Year,State,Demographic,Comparing (Focus group),Cigarette Use Prevalence % (Focus group),To (Reference group),Cigarette Use Prevalence % (Reference group),Disparity Value,Mean Disparity Value (Focus Group),region
2011,Arizona,Age,Age 18-24,19.2,Age 45-64,20.6,0.9,1.26666666666667,West
2011,Arizona,Age,Age 18-24,19.2,Age 65 or older,9,2.1,1.26666666666667,West
2011,Arizona,Age,Age 25-44,23.2,Age 18-24,19.2,1.2,1.63333333333333,West
2011,Arizona,Age,Age 25-44,23.2,Age 45-64,20.6,1.1,1.63333333333333,West
2011,Arizona,Age,Age 25-44,23.2,Age 65 or older,9,2.6,1.63333333333333,West
2011,Arizona,Age,Age 45-64,20.6,Age 18-24,19.2,1.1,1.43333333333333,West
2011,Arizona,Age,Age 45-64,20.6,Age 25-44,23.2,0.9,1.43333333333333,West
2011,Arizona,Age,Age 45-64,20.6,Age 65 or older,9,2.3,1.43333333333333,West
2011,Arizona,Age,Age 65 or older,9,Age 18-24,19.2,0.5,0.433333333333333,West
2011,Arizona,Age,Age 65 or older,9,Age 25-44,23.2,0.4,0.433333333333333,West
2011,Arizona,Age,Age 65 or older,9,Age 45-64,20.6,0.4,0.433333333333333,West
2011,Arkansas,Age,Age 18-24,27.1,Age 25-44,33,0.8,1.33333333333333,South
2011,Arkansas,Age,Age 18-24,27.1,Age 45-64,29.6,0.9,1.33333333333333,South
2011,Arkansas,Age,Age 18-24,27.1,Age 65 or older,11.6,2.3,1.33333333333333,South
2011,Arkansas,Age,Age 25-44,33,Age 18-24,27.1,1.2,1.7,South
2011,Arkansas,Age,Age 25-44,33,Age 45-64,29.6,1.1,1.7,South
2011,Arkansas,Age,Age 25-44,33,Age 65 or older,11.6,2.8,1.7,South
2011,Arkansas,Age,Age 45-64,29.6,Age 18-24,27.1,1.1,1.53333333333333,South
2011,Arkansas,Age,Age 45-64,29.6,Age 25-44,33,0.9,1.53333333333333,South
2011,Arkansas,Age,Age 45-64,29.6,Age 65 or older,11.6,2.6,1.53333333333333,South
2011,Arkansas,Age,Age 65 or older,11.6,Age 18-24,27.1,0.4,0.4,South
2011,Arkansas,Age,Age 65 or older,11.6,Age 25-44,33,0.4,0.4,South
2011,Arkansas,Age,Age 65 or older,11.6,Age 45-64,29.6,0.4,0.4,South
2011,California,Age,Age 18-24,13.4,Age 25-44,16.4,0.8,1.23333333333333,West
2011,California,Age,Age 18-24,13.4,Age 45-64,13.7,1,1.23333333333333,West
2011,California,Age,Age 18-24,13.4,Age 65 or older,6.9,1.9,1.23333333333333,West
2011,California,Age,Age 25-44,16.4,Age 18-24,13.4,1.2,1.6,West
2011,California,Age,Age 25-44,16.4,Age 45-64,13.7,1.2,1.6,West
2011,California,Age,Age 25-44,16.4,Age 65 or older,6.9,2.4,1.6,West
2011,California,Age,Age 45-64,13.7,Age 18-24,13.4,1,1.26666666666667,West
2011,California,Age,Age 45-64,13.7,Age 25-44,16.4,0.8,1.26666666666667,West
2011,California,Age,Age 45-64,13.7,Age 65 or older,6.9,2,1.26666666666667,West
2011,California,Age,Age 65 or older,6.9,Age 18-24,13.4,0.5,0.466666666666667,West
2011,California,Age,Age 65 or older,6.9,Age 25-44,16.4,0.4,0.466666666666667,West
2011,California,Age,Age 65 or older,6.9,Age 45-64,13.7,0.5,0.466666666666667,West
2011,Colorado,Age,Age 18-24,21.6,Age 25-44,21.8,1,1.56666666666667,West
2011,Colorado,Age,Age 18-24,21.6,Age 45-64,17.3,1.2,1.56666666666667,West
2011,Colorado,Age,Age 18-24,21.6,Age 65 or older,8.8,2.5,1.56666666666667,West
2011,Colorado,Age,Age 25-44,21.8,Age 18-24,21.6,1,1.6,West
2011,Colorado,Age,Age 25-44,21.8,Age 45-64,17.3,1.3,1.6,West
2011,Colorado,Age,Age 25-44,21.8,Age 65 or older,8.8,2.5,1.6,West
2011,Colorado,Age,Age 45-64,17.3,Age 18-24,21.6,0.8,1.2,West
2011,Colorado,Age,Age 45-64,17.3,Age 25-44,21.8,0.8,1.2,West
2011,Colorado,Age,Age 45-64,17.3,Age 65 or older,8.8,2,1.2,West
2011,Colorado,Age,Age 65 or older,8.8,Age 18-24,21.6,0.4,0.433333333333333,West
2011,Colorado,Age,Age 65 or older,8.8,Age 25-44,21.8,0.4,0.433333333333333,West
2011,Colorado,Age,Age 65 or older,8.8,Age 45-64,17.3,0.5,0.433333333333333,West
2011,Connecticut,Age,Age 18-24,19.4,Age 25-44,21.5,0.9,1.46666666666667,Northeast
2011,Connecticut,Age,Age 18-24,19.4,Age 45-64,16.8,1.2,1.46666666666667,Northeast
2011,Connecticut,Age,Age 18-24,19.4,Age 65 or older,8.5,2.3,1.46666666666667,Northeast
2011,Connecticut,Age,Age 25-44,21.5,Age 18-24,19.4,1.1,1.63333333333333,Northeast
2011,Connecticut,Age,Age 25-44,21.5,Age 45-64,16.8,1.3,1.63333333333333,Northeast
2011,Connecticut,Age,Age 25-44,21.5,Age 65 or older,8.5,2.5,1.63333333333333,Northeast
2011,Connecticut,Age,Age 45-64,16.8,Age 18-24,19.4,0.9,1.23333333333333,Northeast
2011,Connecticut,Age,Age 45-64,16.8,Age 25-44,21.5,0.8,1.23333333333333,Northeast
2011,Connecticut,Age,Age 45-64,16.8,Age 65 or older,8.5,2,1.23333333333333,Northeast
2011,Connecticut,Age,Age 65 or older,8.5,Age 18-24,19.4,0.4,0.433333333333333,Northeast
2011,Connecticut,Age,Age 65 or older,8.5,Age 25-44,21.5,0.4,0.433333333333333,Northeast
2011,Connecticut,Age,Age 65 or older,8.5,Age 45-64,16.8,0.5,0.433333333333333,Northeast
2011,Delaware,Age,Age 18-24,19.2,Age 25-44,30.6,0.6,1.23333333333333,South
2011,Delaware,Age,Age 18-24,19.2,Age 45-64,21.2,0.9,1.23333333333333,South
2011,Delaware,Age,Age 18-24,19.2,Age 65 or older,8.9,2.2,1.23333333333333,South
2011,Delaware,Age,Age 25-44,30.6,Age 18-24,19.2,1.6,2.13333333333333,South
2011,Delaware,Age,Age 25-44,30.6,Age 45-64,21.2,1.4,2.13333333333333,South
2011,Delaware,Age,Age 25-44,30.6,Age 65 or older,8.9,3.4,2.13333333333333,South
2011,Delaware,Age,Age 45-64,21.2,Age 18-24,19.2,1.1,1.4,South
2011,Delaware,Age,Age 45-64,21.2,Age 25-44,30.6,0.7,1.4,South
2011,Delaware,Age,Age 45-64,21.2,Age 65 or older,8.9,2.4,1.4,South
2011,Delaware,Age,Age 65 or older,8.9,Age 18-24,19.2,0.5,0.4,South
2011,Delaware,Age,Age 65 or older,8.9,Age 25-44,30.6,0.3,0.4,South
2011,Delaware,Age,Age 65 or older,8.9,Age 45-64,21.2,0.4,0.4,South
2011,District of Columbia,Age,Age 18-24,16.1,Age 25-44,23,0.7,0.933333333333333,South
2011,District of Columbia,Age,Age 18-24,16.1,Age 45-64,24.8,0.6,0.933333333333333,South
2011,District of Columbia,Age,Age 18-24,16.1,Age 65 or older,11,1.5,0.933333333333333,South
2011,District of Columbia,Age,Age 25-44,23,Age 18-24,16.1,1.4,1.46666666666667,South
2011,District of Columbia,Age,Age 25-44,23,Age 45-64,24.8,0.9,1.46666666666667,South
2011,District of Columbia,Age,Age 25-44,23,Age 65 or older,11,2.1,1.46666666666667,South
2011,District of Columbia,Age,Age 45-64,24.8,Age 18-24,16.1,1.5,1.63333333333333,South
2011,District of Columbia,Age,Age 45-64,24.8,Age 25-44,23,1.1,1.63333333333333,South
2011,District of Columbia,Age,Age 45-64,24.8,Age 65 or older,11,2.3,1.63333333333333,South
2011,District of Columbia,Age,Age 65 or older,11,Age 18-24,16.1,0.7,0.533333333333333,South
2011,District of Columbia,Age,Age 65 or older,11,Age 25-44,23,0.5,0.533333333333333,South
2011,District of Columbia,Age,Age 65 or older,11,Age 45-64,24.8,0.4,0.533333333333333,South
2011,Florida,Age,Age 18-24,20.1,Age 25-44,22.9,0.9,1.43333333333333,South
2011,Florida,Age,Age 18-24,20.1,Age 45-64,23.2,0.9,1.43333333333333,South
2011,Florida,Age,Age 18-24,20.1,Age 65 or older,7.9,2.5,1.43333333333333,South
2011,Florida,Age,Age 25-44,22.9,Age 18-24,20.1,1.1,1.66666666666667,South
2011,Florida,Age,Age 25-44,22.9,Age 45-64,23.2,1,1.66666666666667,South
2011,Florida,Age,Age 25-44,22.9,Age 65 or older,7.9,2.9,1.66666666666667,South
2011,Florida,Age,Age 45-64,23.2,Age 18-24,20.1,1.2,1.7,South
2011,Florida,Age,Age 45-64,23.2,Age 25-44,22.9,1,1.7,South
2011,Florida,Age,Age 45-64,23.2,Age 65 or older,7.9,2.9,1.7,South
2011,Florida,Age,Age 65 or older,7.9,Age 18-24,20.1,0.4,0.333333333333333,South
2011,Florida,Age,Age 65 or older,7.9,Age 25-44,22.9,0.3,0.333333333333333,South
2011,Florida,Age,Age 65 or older,7.9,Age 45-64,23.2,0.3,0.333333333333333,South
2011,Georgia,Age,Age 18-24,25,Age 25-44,23.5,1.1,1.53333333333333,South
2011,Georgia,Age,Age 18-24,25,Age 45-64,21.6,1.2,1.53333333333333,South
2011,Georgia,Age,Age 18-24,25,Age 65 or older,10.8,2.3,1.53333333333333,South
2011,Georgia,Age,Age 25-44,23.5,Age 18-24,25,0.9,1.4,South
2011,Georgia,Age,Age 25-44,23.5,Age 45-64,21.6,1.1,1.4,South
2011,Georgia,Age,Age 25-44,23.5,Age 65 or older,10.8,2.2,1.4,South
2011,Georgia,Age,Age 45-64,21.6,Age 18-24,25,0.9,1.26666666666667,South
2011,Georgia,Age,Age 45-64,21.6,Age 25-44,23.5,0.9,1.26666666666667,South
2011,Georgia,Age,Age 45-64,21.6,Age 65 or older,10.8,2,1.26666666666667,South
2011,Georgia,Age,Age 65 or older,10.8,Age 18-24,25,0.4,0.466666666666667,South
2011,Georgia,Age,Age 65 or older,10.8,Age 25-44,23.5,0.5,0.466666666666667,South
2011,Georgia,Age,Age 65 or older,10.8,Age 45-64,21.6,0.5,0.466666666666667,South
2011,Hawaii,Age,Age 18-24,23.2,Age 25-44,20.6,1.1,2,West
2011,Hawaii,Age,Age 18-24,23.2,Age 45-64,16.5,1.4,2,West
2011,Hawaii,Age,Age 18-24,23.2,Age 65 or older,6.6,3.5,2,West
2011,Hawaii,Age,Age 25-44,20.6,Age 18-24,23.2,0.9,1.73333333333333,West
2011,Hawaii,Age,Age 25-44,20.6,Age 45-64,16.5,1.2,1.73333333333333,West
2011,Hawaii,Age,Age 25-44,20.6,Age 65 or older,6.6,3.1,1.73333333333333,West
2011,Hawaii,Age,Age 45-64,16.5,Age 18-24,23.2,0.7,1.33333333333333,West
2011,Hawaii,Age,Age 45-64,16.5,Age 25-44,20.6,0.8,1.33333333333333,West
2011,Hawaii,Age,Age 45-64,16.5,Age 65 or older,6.6,2.5,1.33333333333333,West
2011,Hawaii,Age,Age 65 or older,6.6,Age 18-24,23.2,0.3,0.333333333333333,West
2011,Hawaii,Age,Age 65 or older,6.6,Age 25-44,20.6,0.3,0.333333333333333,West
2011,Hawaii,Age,Age 65 or older,6.6,Age 45-64,16.5,0.4,0.333333333333333,West
2011,Idaho,Age,Age 18-24,18.2,Age 25-44,20.9,0.9,1.4,West
2011,Idaho,Age,Age 18-24,18.2,Age 45-64,17.3,1.1,1.4,West
2011,Idaho,Age,Age 18-24,18.2,Age 65 or older,8.4,2.2,1.4,West
2011,Idaho,Age,Age 25-44,20.9,Age 18-24,18.2,1.1,1.6,West
2011,Idaho,Age,Age 25-44,20.9,Age 45-64,17.3,1.2,1.6,West
2011,Idaho,Age,Age 25-44,20.9,Age 65 or older,8.4,2.5,1.6,West
2011,Idaho,Age,Age 45-64,17.3,Age 18-24,18.2,1,1.3,West
2011,Idaho,Age,Age 45-64,17.3,Age 25-44,20.9,0.8,1.3,West
2011,Idaho,Age,Age 45-64,17.3,Age 65 or older,8.4,2.1,1.3,West
2011,Idaho,Age,Age 65 or older,8.4,Age 18-24,18.2,0.5,0.466666666666667,West
2011,Idaho,Age,Age 65 or older,8.4,Age 25-44,20.9,0.4,0.466666666666667,West
2011,Idaho,Age,Age 65 or older,8.4,Age 45-64,17.3,0.5,0.466666666666667,West
2011,Illinois,Age,Age 18-24,25.2,Age 25-44,24.1,1,1.8,Midwest
2011,Illinois,Age,Age 18-24,25.2,Age 45-64,22.5,1.1,1.8,Midwest
2011,Illinois,Age,Age 18-24,25.2,Age 65 or older,7.6,3.3,1.8,Midwest
2011,Illinois,Age,Age 25-44,24.1,Age 18-24,25.2,1,1.76666666666667,Midwest
2011,Illinois,Age,Age 25-44,24.1,Age 45-64,22.5,1.1,1.76666666666667,Midwest
2011,Illinois,Age,Age 25-44,24.1,Age 65 or older,7.6,3.2,1.76666666666667,Midwest
2011,Illinois,Age,Age 45-64,22.5,Age 18-24,25.2,0.9,1.6,Midwest
2011,Illinois,Age,Age 45-64,22.5,Age 25-44,24.1,0.9,1.6,Midwest
2011,Illinois,Age,Age 45-64,22.5,Age 65 or older,7.6,3,1.6,Midwest
2011,Illinois,Age,Age 65 or older,7.6,Age 18-24,25.2,0.3,0.3,Midwest
2011,Illinois,Age,Age 65 or older,7.6,Age 25-44,24.1,0.3,0.3,Midwest
2011,Illinois,Age,Age 65 or older,7.6,Age 45-64,22.5,0.3,0.3,Midwest
2011,Indiana,Age,Age 18-24,29,Age 25-44,30.9,0.9,1.5,Midwest
2011,Indiana,Age,Age 18-24,29,Age 45-64,26.3,1.1,1.5,Midwest
2011,Indiana,Age,Age 18-24,29,Age 65 or older,11.5,2.5,1.5,Midwest
2011,Indiana,Age,Age 25-44,30.9,Age 18-24,29,1.1,1.66666666666667,Midwest
2011,Indiana,Age,Age 25-44,30.9,Age 45-64,26.3,1.2,1.66666666666667,Midwest
2011,Indiana,Age,Age 25-44,30.9,Age 65 or older,11.5,2.7,1.66666666666667,Midwest
2011,Indiana,Age,Age 45-64,26.3,Age 18-24,29,0.9,1.36666666666667,Midwest
2011,Indiana,Age,Age 45-64,26.3,Age 25-44,30.9,0.9,1.36666666666667,Midwest
2011,Indiana,Age,Age 45-64,26.3,Age 65 or older,11.5,2.3,1.36666666666667,Midwest
2011,Indiana,Age,Age 65 or older,11.5,Age 18-24,29,0.4,0.4,Midwest
2011,Indiana,Age,Age 65 or older,11.5,Age 25-44,30.9,0.4,0.4,Midwest
2011,Indiana,Age,Age 65 or older,11.5,Age 45-64,26.3,0.4,0.4,Midwest
2011,Iowa,Age,Age 18-24,27.1,Age 25-44,25.8,1.1,2.06666666666667,Midwest
2011,Iowa,Age,Age 18-24,27.1,Age 45-64,20.3,1.3,2.06666666666667,Midwest
2011,Iowa,Age,Age 18-24,27.1,Age 65 or older,7.1,3.8,2.06666666666667,Midwest
2011,Iowa,Age,Age 25-44,25.8,Age 18-24,27.1,1,1.96666666666667,Midwest
2011,Iowa,Age,Age 25-44,25.8,Age 45-64,20.3,1.3,1.96666666666667,Midwest
2011,Iowa,Age,Age 25-44,25.8,Age 65 or older,7.1,3.6,1.96666666666667,Midwest
2011,Iowa,Age,Age 45-64,20.3,Age 18-24,27.1,0.7,1.46666666666667,Midwest
2011,Iowa,Age,Age 45-64,20.3,Age 25-44,25.8,0.8,1.46666666666667,Midwest
2011,Iowa,Age,Age 45-64,20.3,Age 65 or older,7.1,2.9,1.46666666666667,Midwest
2011,Iowa,Age,Age 65 or older,7.1,Age 18-24,27.1,0.3,0.3,Midwest
2011,Iowa,Age,Age 65 or older,7.1,Age 25-44,25.8,0.3,0.3,Midwest
2011,Iowa,Age,Age 65 or older,7.1,Age 45-64,20.3,0.3,0.3,Midwest
2011,Kansas,Age,Age 18-24,24.5,Age 25-44,27.2,0.9,1.53333333333333,Midwest
2011,Kansas,Age,Age 18-24,24.5,Age 45-64,22.4,1.1,1.53333333333333,Midwest
2011,Kansas,Age,Age 18-24,24.5,Age 65 or older,9.5,2.6,1.53333333333333,Midwest
2011,Kansas,Age,Age 25-44,27.2,Age 18-24,24.5,1.1,1.73333333333333,Midwest
2011,Kansas,Age,Age 25-44,27.2,Age 45-64,22.4,1.2,1.73333333333333,Midwest
2011,Kansas,Age,Age 25-44,27.2,Age 65 or older,9.5,2.9,1.73333333333333,Midwest
2011,Kansas,Age,Age 45-64,22.4,Age 18-24,24.5,0.9,1.36666666666667,Midwest
2011,Kansas,Age,Age 45-64,22.4,Age 25-44,27.2,0.8,1.36666666666667,Midwest
2011,Kansas,Age,Age 45-64,22.4,Age 65 or older,9.5,2.4,1.36666666666667,Midwest
2011,Kansas,Age,Age 65 or older,9.5,Age 18-24,24.5,0.4,0.366666666666667,Midwest
2011,Kansas,Age,Age 65 or older,9.5,Age 25-44,27.2,0.3,0.366666666666667,Midwest
2011,Kansas,Age,Age 65 or older,9.5,Age 45-64,22.4,0.4,0.366666666666667,Midwest
2011,Kentucky,Age,Age 18-24,31.1,Age 25-44,37.3,0.8,1.63333333333333,South
2011,Kentucky,Age,Age 18-24,31.1,Age 45-64,29.5,1.1,1.63333333333333,South
2011,Kentucky,Age,Age 18-24,31.1,Age 65 or older,10.4,3,1.63333333333333,South
2011,Kentucky,Age,Age 25-44,37.3,Age 18-24,31.1,1.2,2.03333333333333,South
2011,Kentucky,Age,Age 25-44,37.3,Age 45-64,29.5,1.3,2.03333333333333,South
2011,Kentucky,Age,Age 25-44,37.3,Age 65 or older,10.4,3.6,2.03333333333333,South
2011,Kentucky,Age,Age 45-64,29.5,Age 18-24,31.1,0.9,1.5,South
2011,Kentucky,Age,Age 45-64,29.5,Age 25-44,37.3,0.8,1.5,South
2011,Kentucky,Age,Age 45-64,29.5,Age 65 or older,10.4,2.8,1.5,South
2011,Kentucky,Age,Age 65 or older,10.4,Age 18-24,31.1,0.3,0.333333333333333,South
2011,Kentucky,Age,Age 65 or older,10.4,Age 25-44,37.3,0.3,0.333333333333333,South
2011,Kentucky,Age,Age 65 or older,10.4,Age 45-64,29.5,0.4,0.333333333333333,South
2011,Louisiana,Age,Age 18-24,22.8,Age 25-44,33.1,0.7,1.16666666666667,South
2011,Louisiana,Age,Age 18-24,22.8,Age 45-64,26.1,0.9,1.16666666666667,South
2011,Louisiana,Age,Age 18-24,22.8,Age 65 or older,12.1,1.9,1.16666666666667,South
2011,Louisiana,Age,Age 25-44,33.1,Age 18-24,22.8,1.5,1.83333333333333,South
2011,Louisiana,Age,Age 25-44,33.1,Age 45-64,26.1,1.3,1.83333333333333,South
2011,Louisiana,Age,Age 25-44,33.1,Age 65 or older,12.1,2.7,1.83333333333333,South
2011,Louisiana,Age,Age 45-64,26.1,Age 18-24,22.8,1.1,1.36666666666667,South
2011,Louisiana,Age,Age 45-64,26.1,Age 25-44,33.1,0.8,1.36666666666667,South
2011,Louisiana,Age,Age 45-64,26.1,Age 65 or older,12.1,2.2,1.36666666666667,South
2011,Louisiana,Age,Age 65 or older,12.1,Age 18-24,22.8,0.5,0.466666666666667,South
2011,Louisiana,Age,Age 65 or older,12.1,Age 25-44,33.1,0.4,0.466666666666667,South
2011,Louisiana,Age,Age 65 or older,12.1,Age 45-64,26.1,0.5,0.466666666666667,South
2011,Maine,Age,Age 18-24,29.2,Age 25-44,32.8,0.9,2,Northeast
2011,Maine,Age,Age 18-24,29.2,Age 45-64,20.9,1.4,2,Northeast
2011,Maine,Age,Age 18-24,29.2,Age 65 or older,7.9,3.7,2,Northeast
2011,Maine,Age,Age 25-44,32.8,Age 18-24,29.2,1.1,2.3,Northeast
2011,Maine,Age,Age 25-44,32.8,Age 45-64,20.9,1.6,2.3,Northeast
2011,Maine,Age,Age 25-44,32.8,Age 65 or older,7.9,4.2,2.3,Northeast
2011,Maine,Age,Age 45-64,20.9,Age 18-24,29.2,0.7,1.3,Northeast
2011,Maine,Age,Age 45-64,20.9,Age 25-44,32.8,0.6,1.3,Northeast
2011,Maine,Age,Age 45-64,20.9,Age 65 or older,7.9,2.6,1.3,Northeast
2011,Maine,Age,Age 65 or older,7.9,Age 18-24,29.2,0.3,0.3,Northeast
2011,Maine,Age,Age 65 or older,7.9,Age 25-44,32.8,0.2,0.3,Northeast
2011,Maine,Age,Age 65 or older,7.9,Age 45-64,20.9,0.4,0.3,Northeast
2011,Maryland,Age,Age 18-24,23,Age 25-44,21.8,1.1,1.6,South
2011,Maryland,Age,Age 18-24,23,Age 45-64,19.7,1.2,1.6,South
2011,Maryland,Age,Age 18-24,23,Age 65 or older,9.2,2.5,1.6,South
2011,Maryland,Age,Age 25-44,21.8,Age 18-24,23,0.9,1.46666666666667,South
2011,Maryland,Age,Age 25-44,21.8,Age 45-64,19.7,1.1,1.46666666666667,South
2011,Maryland,Age,Age 25-44,21.8,Age 65 or older,9.2,2.4,1.46666666666667,South
2011,Maryland,Age,Age 45-64,19.7,Age 18-24,23,0.9,1.3,South
2011,Maryland,Age,Age 45-64,19.7,Age 25-44,21.8,0.9,1.3,South
2011,Maryland,Age,Age 45-64,19.7,Age 65 or older,9.2,2.1,1.3,South
2011,Maryland,Age,Age 65 or older,9.2,Age 18-24,23,0.4,0.433333333333333,South
2011,Maryland,Age,Age 65 or older,9.2,Age 25-44,21.8,0.4,0.433333333333333,South
2011,Maryland,Age,Age 65 or older,9.2,Age 45-64,19.7,0.5,0.433333333333333,South
2011,Massachusetts,Age,Age 18-24,22.6,Age 25-44,23.2,1,1.63333333333333,Northeast
2011,Massachusetts,Age,Age 18-24,22.6,Age 45-64,16.6,1.4,1.63333333333333,Northeast
2011,Massachusetts,Age,Age 18-24,22.6,Age 65 or older,9,2.5,1.63333333333333,Northeast
2011,Massachusetts,Age,Age 25-44,23.2,Age 18-24,22.6,1,1.66666666666667,Northeast
2011,Massachusetts,Age,Age 25-44,23.2,Age 45-64,16.6,1.4,1.66666666666667,Northeast
2011,Massachusetts,Age,Age 25-44,23.2,Age 65 or older,9,2.6,1.66666666666667,Northeast
2011,Massachusetts,Age,Age 45-64,16.6,Age 18-24,22.6,0.7,1.06666666666667,Northeast
2011,Massachusetts,Age,Age 45-64,16.6,Age 25-44,23.2,0.7,1.06666666666667,Northeast
2011,Massachusetts,Age,Age 45-64,16.6,Age 65 or older,9,1.8,1.06666666666667,Northeast
2011,Massachusetts,Age,Age 65 or older,9,Age 18-24,22.6,0.4,0.433333333333333,Northeast
2011,Massachusetts,Age,Age 65 or older,9,Age 25-44,23.2,0.4,0.433333333333333,Northeast
2011,Massachusetts,Age,Age 65 or older,9,Age 45-64,16.6,0.5,0.433333333333333,Northeast
2011,Michigan,Age,Age 18-24,24.3,Age 25-44,29.5,0.8,1.43333333333333,Midwest
2011,Michigan,Age,Age 18-24,24.3,Age 45-64,24.1,1,1.43333333333333,Midwest
2011,Michigan,Age,Age 18-24,24.3,Age 65 or older,9.9,2.5,1.43333333333333,Midwest
2011,Michigan,Age,Age 25-44,29.5,Age 18-24,24.3,1.2,1.8,Midwest
2011,Michigan,Age,Age 25-44,29.5,Age 45-64,24.1,1.2,1.8,Midwest
2011,Michigan,Age,Age 25-44,29.5,Age 65 or older,9.9,3,1.8,Midwest
2011,Michigan,Age,Age 45-64,24.1,Age 18-24,24.3,1,1.4,Midwest
2011,Michigan,Age,Age 45-64,24.1,Age 25-44,29.5,0.8,1.4,Midwest
2011,Michigan,Age,Age 45-64,24.1,Age 65 or older,9.9,2.4,1.4,Midwest
2011,Michigan,Age,Age 65 or older,9.9,Age 18-24,24.3,0.4,0.366666666666667,Midwest
2011,Michigan,Age,Age 65 or older,9.9,Age 25-44,29.5,0.3,0.366666666666667,Midwest
2011,Michigan,Age,Age 65 or older,9.9,Age 45-64,24.1,0.4,0.366666666666667,Midwest
2011,Minnesota,Age,Age 18-24,24.7,Age 25-44,22.6,1.1,1.76666666666667,Midwest
2011,Minnesota,Age,Age 18-24,24.7,Age 45-64,18.7,1.3,1.76666666666667,Midwest
2011,Minnesota,Age,Age 18-24,24.7,Age 65 or older,8.6,2.9,1.76666666666667,Midwest
2011,Minnesota,Age,Age 25-44,22.6,Age 18-24,24.7,0.9,1.56666666666667,Midwest
2011,Minnesota,Age,Age 25-44,22.6,Age 45-64,18.7,1.2,1.56666666666667,Midwest
2011,Minnesota,Age,Age 25-44,22.6,Age 65 or older,8.6,2.6,1.56666666666667,Midwest
2011,Minnesota,Age,Age 45-64,18.7,Age 18-24,24.7,0.8,1.26666666666667,Midwest
2011,Minnesota,Age,Age 45-64,18.7,Age 25-44,22.6,0.8,1.26666666666667,Midwest
2011,Minnesota,Age,Age 45-64,18.7,Age 65 or older,8.6,2.2,1.26666666666667,Midwest
2011,Minnesota,Age,Age 65 or older,8.6,Age 18-24,24.7,0.3,0.4,Midwest
2011,Minnesota,Age,Age 65 or older,8.6,Age 25-44,22.6,0.4,0.4,Midwest
2011,Minnesota,Age,Age 65 or older,8.6,Age 45-64,18.7,0.5,0.4,Midwest
2011,Mississippi,Age,Age 18-24,29,Age 25-44,31.8,0.9,1.63333333333333,South
2011,Mississippi,Age,Age 18-24,29,Age 45-64,27.1,1.1,1.63333333333333,South
2011,Mississippi,Age,Age 18-24,29,Age 65 or older,10,2.9,1.63333333333333,South
2011,Mississippi,Age,Age 25-44,31.8,Age 18-24,29,1.1,1.83333333333333,South
2011,Mississippi,Age,Age 25-44,31.8,Age 45-64,27.1,1.2,1.83333333333333,South
2011,Mississippi,Age,Age 25-44,31.8,Age 65 or older,10,3.2,1.83333333333333,South
